ID,titre_original,acteur_1,acteur_2,acteur_3,acteur_4,real_1,real_2,real_3,scen_1,scen_2,scen_3,scen_4,score_disctrib,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,pays,jour_sortie,mois_sortie,annee_sortie,day_of_week_sortie,note_presse,duree,premiere_semaine_france,Budget_dollards
6450,Tell me lies,MarkJones,RobertLloyd,GlendaJackson,EricAllan,Peter Brook,,,Peter Brook, Michael Kustow, Michael Scott (III),,"0,02281",Drame,,,,,,,Grande-Bretagne,10.0,10.0,2012.0,2.0,3.8,108.0,3901.0,
6615,Grazuole,IngaMickyte,LilijaZhadeikyte,ArvidasSamukas,TaurasRagalevicius,Arūnas Žebriūnas,,,Jurijus Jakovlevas,,,,"0,01423",Comédie dramatique,,,,,,,Lituanie,22.0,8.0,2018.0,2.0,3.9,65.0,1200.0,
7118,Les convoyeurs attendent,BenoitPoelvoorde,DominiqueBayens,BouliLanners,MorganeSimon,Benoît Mariage,,,Benoît Mariage, Emmanuelle Bada, Jean-Luc Seigle,,"0,02158",Comédie dramatique,,,,,,,Belgique,15.0,9.0,1999.0,2.0,3.5,94.0,52649.0,5518.0
8037,Grandeur et décadence d'un petit commerce de cinéma,Jean-PierreLeaud,Jean-PierreMocky,CarolineChampetier,NathalieRichard,Jean-Luc Godard,,,James Hadley Chase, Jean-Luc Godard,,,"0,02175",Policier,,,,,,,Suisse,4.0,10.0,2017.0,2.0,4.0,91.0,1503.0,
8615,Hanyo,Eun-shimLee,Jeung-nyeoJu,JinKyuKim,Sung-keeAhn,Kim Ki-Young,,,Kim Ki-Young,,,,"0,01354",Drame, Epouvante-horreur,,,,,,Corée du Sud,15.0,8.0,2012.0,2.0,4.1,111.0,6481.0,
8727,2/dyuo,YuEri,HidetoshiNishijima,OtaniKenjiro,YamamotoMiyuki,Nobuhiro Suwa,,,,,,,"0,01128",Drame,,,,,,,Japon,31.0,10.0,2012.0,2.0,3.9,90.0,1513.0,
9906,Happy-Go-Lucky,SallyHawkins,AlexisZegerman,AndreaRiseborough,SineadMatthews,Mike Leigh,,,Mike Leigh,,,,"0,01548",Comédie,,,,,,,Grande-Bretagne,27.0,8.0,2008.0,2.0,3.9,118.0,110442.0,3512016.0
10675,Cornouaille,VanessaParadis,SamuelLeBihan,JonathanZaccai,LaurentStocker,Anne Le Ny,,,Anne Le Ny, Luc Béraud,,,"0,02266",Drame,,,,,,,France,15.0,8.0,2012.0,2.0,3.0,96.0,128162.0,1805634.0
10862,The Lion King,,,,,Roger Allers, Rob Minkoff,,Jim Capobianco, Irene Mecchi, Linda Woolverton,,"0,02489",Aventure, Animation, Famille, Comédie musicale,,,,U.S.A.,23.0,11.0,1994.0,2.0,3.4,89.0,210904.0,45000000.0
11276,Parc,Jean-MarcBarr,SergiLopez,NathalieRichard,DelphineChuillot,Arnaud des Pallières,,,Arnaud des Pallières, John Cheever,,,"0,02467",Drame,,,,,,,France,14.0,1.0,2009.0,2.0,2.8,109.0,4012.0,47307.0
11295,Billy Elliot,JamieBell,JulieWalters,GaryLewis,JamieDraven,Stephen Daldry,,,Lee Hall,,,,"0,01485",Comédie dramatique,,,,,,,Grande-Bretagne,20.0,12.0,2000.0,2.0,3.7,110.0,200445.0,5000000.0
11681,Images de femmes ou le corset social,CatherineBreillat,SharonStone,Lio,CatherineDeneuve,Jean-François Ferrillon,,,Jean-François Ferrillon,,,,"0,00526",Documentaire,,,,,,,France,5.0,1.0,2011.0,2.0,2.2,80.0,531.0,
12791,Planet of the Apes,CharltonHeston,RoddyMcDowall,KimHunter,MauriceEvans,Franklin J. Schaffner,,,Michael Wilson, Rod Serling, Pierre Boulle,,"0,00499",Drame, Science Fiction,,,,,,U.S.A.,26.0,4.0,1968.0,4.0,4.0,110.0,175773.0,5800000.0
12958,Rupan sansei: Kariosutoro no shiro,,,,,Hayao Miyazaki,,,Haruya Yamazaki, Hayao Miyazaki, Monkey Punch,,"0,01009",Aventure, Animation,,,,,,Japon,7.0,3.0,2001.0,2.0,4.0,100.0,3360.0,33500000.0
13182,Kalachakra,,,,,Natalie Fuchs,,,Natalie Fuchs,,,,"0,00633",Documentaire,,,,,,,France,27.0,9.0,2017.0,2.0,3.1,80.0,811.0,103056.0
13602,Taipei story,HouHsiao-Hsien,Su-yunKo,TsaiChin,WuNien-Jen,Edward Yang,,,Edward Yang, Hou Hsiao-Hsien, Chu Tien-Wen,,"0,01354",Comédie dramatique,,,,,,,Taïwan,12.0,4.0,2017.0,2.0,4.3,119.0,3034.0,
15112,Lo Zio di Brooklyn,SalvatoreGattuso,PippoAugusta,SalvatoreSchiera,GaspareMarchione,Daniele Cipri, Franco Maresco,,Daniele Cipri, Franco Maresco,,,"0,01423",Comédie,,,,,,,Italie,3.0,7.0,2013.0,2.0,4.0,98.0,1450.0,
15681,Rencontre avec le dragon,DanielAuteuil,NicolasNollet,SergiLopez,EmmanuelleDevos,Hélène Angel,,,Hélène Angel, Jean-Claude Janer, Agnès De Sacy,,"0,01427",Aventure,,,,,,,France,6.0,8.0,2003.0,2.0,2.6,109.0,77178.0,649098.0
16591,Madagascar,,,,,Eric Darnell, Tom McGrath,,Billy Frolick, Eric Darnell, Tom McGrath,,"0,02331",Aventure, Animation, Comédie,,,,,U.S.A.,22.0,6.0,2005.0,2.0,3.6,86.0,874013.0,75000000.0
17344,Renaissance,RobertDauney,CrystalShepherd-Cross,IsabelleVanWaes,MaxHayter,Christian Volckman,,,Matthieu Delaporte, Alexandre De La Patellière, Patrick Raynal,,"0,03024",Animation,,,,,,,France,15.0,3.0,2006.0,2.0,3.7,95.0,141366.0,18000000.0
17393,Héritage,AshrafBarhom,HafsiaHerzi,HiamAbbass,YussefAbuWarda,Hiam Abbass,,,Hiam Abbass, Ala Hlehel, Nadine Naous,,"0,02412",Drame,,,,,,,France,12.0,12.0,2012.0,2.0,3.4,88.0,15897.0,
17952,My Name is Joe,PeterMullan,LouiseGoodall,DavidMcKay,DavidHayman,Ken Loach,,,Paul Laverty,,,,"0,00000",Drame, Romance,,,,,,Grande-Bretagne,14.0,10.0,1998.0,2.0,3.5,105.0,34201.0,354952.0
17965,La Revolte des jouets,,,,,Bretislav Pojar, Hermina Tyrlova,,,,,,"0,01083",Animation,,,,,,,Tchécoslovaquie,4.0,4.0,2018.0,2.0,4.6,33.0,774.0,
18477,The Horse Whisperer,RobertRedford,KristinScottThomas,ScarlettJohansson,SamNeill,Robert Redford,,,Eric Roth, Richard LaGravenese, Nicholas Evans,,"0,00000",Drame, Romance,,,,,,U.S.A.,2.0,9.0,1998.0,2.0,3.2,160.0,45440.0,60000000.0
18478,There's Something about Mary,BenStiller,CameronDiaz,MattDillon,ChrisElliott,Peter Farrelly, Bobby Farrelly,,Edward Decter, Peter Farrelly, Bobby Farrelly,,"0,01439",Comédie,,,,,,,U.S.A.,11.0,11.0,1998.0,2.0,4.0,119.0,573347.0,23000000.0
18524,The Mask of Zorro,AnthonyHopkins,AntonioBanderas,CatherineZeta-Jones,StuartWilson,Martin Campbell,,,John Eskow, Ted Elliot, Terry Rossio,,"0,00000",Action, Aventure, Romance,,,,,U.S.A.,14.0,10.0,1998.0,2.0,3.2,136.0,226753.0,95000000.0
18598,Saving Private Ryan,RyanHurst,TomHanks,TomSizemore,EdwardBurns,Steven Spielberg,,,Robert Rodat,,,,"0,02331",Drame, Guerre,,,,,,U.S.A.,30.0,9.0,1998.0,2.0,3.0,163.0,165808.0,70000000.0
18671,The Truman Show,JimCarrey,LauraLinney,NataschaMcElhone,EdHarris,Peter Weir,,,Andrew Niccol,,,,"0,00552",Comédie, Drame,,,,,,U.S.A.,28.0,10.0,1998.0,2.0,3.6,103.0,244990.0,60000000.0
18832,Place Vendôme,CatherineDeneuve,JacquesDutronc,Jean-PierreBacri,FrancoisBerleand,Nicole Garcia,,,Emmanuel Bourdieu, Jacques Fieschi, Nicole Garcia,,"0,00000",Comédie dramatique,,,,,,,France,31.0,12.0,2015.0,3.0,2.4,117.0,37701.0,895788.0
19170,Alice et Martin,JulietteBinoche,AlexisLoret,MathieuAmalric,CarmenMaura,André Téchiné,,,Olivier Assayas, Gilles Taurand, André Téchiné,,"0,02579",Drame,,,,,,,France,4.0,11.0,1998.0,2.0,3.4,120.0,118215.0,500896.0
19174,Hanuman,RobertCavanah,Tabu,NathalieAuffret,KhalidThiabji,Fred Fougea,,,Fred Fougea, Michel Fessler,,,"0,00000",Aventure,,,,,,,France,1.0,1.0,2008.0,1.0,2.9,90.0,61461.0,8100000.0
19184,The X Files,JeffreyDeMunn,MartinLandau,BlytheDanner,TerryO&#039;Quinn,Rob Bowman,,,Chris Carter, Frank Spotnitz,,,"0,01549",Fantastique, Thriller,,,,,,Canada,21.0,10.0,1998.0,2.0,2.9,121.0,100301.0,66000000.0
19280,Elizabeth,CateBlanchett,JosephFiennes,GeoffreyRush,EricCantona,Shekhar Kapur,,,Michael Hirst,,,,"0,01471",Drame, Historique,,,,,,Grande-Bretagne,11.0,11.0,1998.0,2.0,3.7,124.0,48243.0,30000000.0
19403,The Negotiator,SamuelL.Jackson,KevinSpacey,DavidMorse,RonRifkin,F. Gary Gray,,,James DeMonaco, Kevin Fox,,,"0,03340",Policier, Thriller,,,,,,Allemagne,4.0,11.0,1998.0,2.0,3.5,140.0,85976.0,50000000.0
19430,15 août,RichardBerry,CharlesBerling,Jean-PierreDarroussin,MelanieThierry,Patrick Alessandrin,,,Lisa Azuelos,,,,"0,02372",Comédie,,,,,,,France,18.0,4.0,2001.0,2.0,3.0,92.0,344277.0,8100000.0
19439,Snake Eyes,NicolasCage,JohnHeard,GarySinise,CarlaGugino,Brian De Palma,,,David Koepp, Brian De Palma,,,"0,01122",Policier, Drame, Thriller,,,,,U.S.A.,11.0,11.0,1998.0,2.0,4.3,98.0,442592.0,73000000.0
19483,Antz,,,,,Eric Darnell, Tim Johnson, Lawrence Guterman,Todd Alcott, Chris Weitz, Paul Weitz,,"0,02331",Aventure, Animation, Comédie, Famille,,,,U.S.A.,11.0,11.0,1998.0,2.0,3.4,83.0,421717.0,105000000.0
19881,"Mai 68, la belle ouvrage",,,,,Jean-Luc Magneron,,,,,,,"0,00758",Documentaire,,,,,,,France,25.0,4.0,2018.0,2.0,3.3,117.0,242.0,
20151,Babel,BradPitt,CateBlanchett,GaelGarciaBernal,KojiYakusho,Alejandro González Iñárritu,,,Guillermo Arriaga, Guillermo Arriaga, Alejandro González Iñárritu,,"0,02158",Drame, Thriller,,,,,,France,15.0,11.0,2006.0,2.0,3.6,135.0,200643.0,25000000.0
20153,The Mummy,BrendanFraser,RachelWeisz,JohnHannah,ArnoldVosloo,Stephen Sommers,,,Stephen Sommers, Nina Wilcox Putnam, Richard Schayer,,"0,02331",Aventure, Fantastique,,,,,,U.S.A.,21.0,7.0,1999.0,2.0,3.1,125.0,36295.0,80000000.0
20287,Notting Hill,JuliaRoberts,HughGrant,RichardMcCabe,JamesDreyfus,Roger Michell,,,Richard Curtis,,,,"0,00563",Comédie, Romance,,,,,,U.S.A.,18.0,8.0,1999.0,2.0,3.9,124.0,266598.0,42000000.0
20290,Wild Wild West,WillSmith,KevinKline,KennethBranagh,SalmaHayek,Barry Sonnenfeld,,,S.S. Wilson, Brent Maddock, Jeffrey Price,,"0,03340",Action, Aventure, Western,,,,,U.S.A.,4.0,8.0,1999.0,2.0,3.4,104.0,37616.0,170000000.0
20350,Est-Ouest,SandrineBonnaire,OlegMenchikov,CatherineDeneuve,RubenTapiero,Régis Wargnier,,,Louis Gardel, Rüstem İbrahimbekov, Régis Wargnier,,"0,01549",Drame, Romance,,,,,,France,1.0,9.0,1999.0,2.0,3.3,120.0,48850.0,11500000.0
20381,Toto Che Visse Due Volte,SalvatoreGattuso,MarcelloMiranda,CarloGiordano,PietroArciadiacono,Daniele Cipri, Francesco Maresto,,Daniele Cipri, Lillo Iacolino, Franco Maresco,,"0,01423",Comédie, Drame,,,,,,Italie,10.0,6.0,2009.0,2.0,3.6,95.0,2120.0,8478.0
20391,The Ninth Gate,JohnnyDepp,FrankLangella,LenaOlin,EmmanuelleSeigner,Roman Polanski,,,John Brownjohn, Enrique Urbizu, Roman Polanski,,"0,02579",Fantastique, Thriller,,,,,,U.S.A.,25.0,8.0,1999.0,2.0,3.2,132.0,101940.0,38000000.0
20395,South Park: Bigger Longer & Uncut,,,,,Trey Parker,,,Trey Parker, Matt Stone, Pam Brady,,"0,03340",Animation, Comédie, Musical,,,,,U.S.A.,25.0,8.0,1999.0,2.0,3.8,81.0,73036.0,21000000.0
20445,La maladie de Sachs,AlbertDupontel,ValerieDreville,DominiqueReymond,EtienneBierry,Michel Deville,,,Michel Deville, Rosalinde Deville, Martin Winckler,,"0,00000",Comédie dramatique,,,,,,,France,22.0,9.0,1999.0,2.0,3.8,107.0,67152.0,
20490,A Midsummer Night's Dream,BillIrwin,RupertEverett,SophieMarceau,MichellePfeiffer,Michael Hoffman,,,Michael Hoffman, William Shakespeare,,,"0,01549",Comédie, Fantastique, Romance,,,,,Grande-Bretagne,22.0,9.0,1999.0,2.0,2.9,115.0,41750.0,11000000.0
20498,The Thomas Crown Affair,PierceBrosnan,ReneRusso,BenGazzara,FayeDunaway,John McTiernan,,,Leslie Dixon, Kurt Wimmer, Alan Trustman,,"0,02331",Policier, Romance, Thriller,,,,,U.S.A.,22.0,9.0,1999.0,2.0,3.1,105.0,324195.0,48000000.0
20502,Eyes Wide Shut,TomCruise,NicoleKidman,MadisonEginton,SydneyPollack,Stanley Kubrick,,,Stanley Kubrick, Frederic Raphael,,,"0,03340",Drame, Erotique, Thriller,,,,,Grande-Bretagne,15.0,9.0,1999.0,2.0,4.1,159.0,389322.0,65000000.0
20537,Big Daddy,AdamSandler,JoeyLaurenAdams,JonStewart,KristySwanson,Dennis Dugan,,,Adam Sandler, Tim Herlihy,,,"0,00000",Comédie,,,,,,,U.S.A.,22.0,9.0,1999.0,2.0,2.7,93.0,141577.0,34200000.0
20544,Les Enfants du Siècle,JulietteBinoche,BenoitMagimel,RobinRenucci,VictoireThivisol,Diane Kurys,,,François-Olivier Rousseau, Murray Head, Diane Kurys,,"0,02579",Biopic, Comédie dramatique, Historique,,,,,France,22.0,9.0,1999.0,2.0,2.8,135.0,170106.0,56611.0
20754,Star Wars: Episode I - The Phantom Menace,LiamNeeson,EwanMcGregor,NataliePortman,JakeLloyd,George Lucas,,,George Lucas,,,,"0,02846",Aventure, Fantastique, Science Fiction,,,,,U.S.A.,13.0,10.0,1999.0,2.0,3.1,133.0,296406.0,115000000.0
21382,Kasaba,MehmetEminToprak,HavvaSaglam,CihatButun,FatmaCeylan,Nuri Bilge Ceylan,,,Nuri Bilge Ceylan, Emine Ceylan,,,"0,02134",Drame,,,,,,,Turquie,16.0,8.0,2023.0,2.0,3.7,84.0,3789.0,
22015,Kanashimi no Beradonna,,,,,Eiichi Yamamoto,,,Yoshiyuki Fukuda, Eiichi Yamamoto,,,"0,02334",Animation, Drame, Erotique, Fantastique,,,,Japon,15.0,6.0,2016.0,2.0,4.6,93.0,4142.0,105841.0
22092,The Sixth Sense,BruceWillis,HaleyJoelOsment,ToniCollette,OliviaWilliams,M. Night Shyamalan,,,M. Night Shyamalan,,,,"0,01122",Drame, Thriller,,,,,,U.S.A.,5.0,1.0,2000.0,2.0,4.0,107.0,806230.0,40000000.0
22758,Le goût des autres,Jean-PierreBacri,GerardLanvin,AlainChabat,AgnesJaoui,Agnès Jaoui,,,Agnès Jaoui, Jean-Pierre Bacri,,,"0,03024",Comédie dramatique, Romance,,,,,,France,1.0,3.0,2000.0,2.0,4.2,112.0,24000.0,891369.0
23147,Féminin plurielles,HafsiaHerzi,LiseBellynck,AnneSteffens,FriedeliseStutte,Sébastien Bailly,,,Sébastien Bailly,,,,"0,00592",Comédie dramatique,,,,,,,France,7.0,3.0,2018.0,2.0,3.1,82.0,435.0,194400.0
23245,Perpetua 664,,,,,Claudia Neubern,,,Fabian Remy, Jean-Marie Remy,,,"0,00000",Documentaire,,,,,,,France,19.0,6.0,2013.0,2.0,2.7,79.0,102.0,
23283,Grandir,DominiqueCabrera,,,,Dominique Cabrera,,,,,,,"0,01009",Documentaire,,,,,,,France,23.0,10.0,2013.0,2.0,3.4,93.0,324.0,
23354,The Messengers,KristenStewart,DylanMcDermott,PenelopeAnnMiller,JohnCorbett,Oxide Chun Pang, Danny Pang,,Todd Farmer, Mark Wheaton, Stuart Beattie,,"0,04368",Epouvante-horreur, Thriller,,,,,,U.S.A.,4.0,4.0,2007.0,2.0,1.7,91.0,53396.0,16000000.0
24252,La Clinique de l'amour !,BrunoSalomone,HelenaNoguerra,ArtusdePenguern,NatachaLindinger,Artus de Penguern,,,Artus de Penguern, Gabor Rassov, Jérôme L&#039;hotsky,,"0,02334",Comédie,,,,,,,France,27.0,6.0,2012.0,2.0,3.4,83.0,47212.0,302101.0
25453,Blood Simple,JohnGetz,FrancesMcDormand,DanHedaya,M.EmmetWalsh,Joel Coen, Ethan Coen,,Joel Coen, Ethan Coen,,,"0,01439",Policier, Thriller,,,,,,U.S.A.,3.0,7.0,1985.0,2.0,4.7,96.0,2286.0,1500000.0
25751,Au suivant !,AlexandraLamy,ClovisCornillac,JulietteRoudet,JerryRudes,Jeanne Biras,,,Jeanne Biras,,,,"0,02372",Comédie, Romance,,,,,,France,6.0,7.0,2005.0,2.0,2.6,90.0,107723.0,1095027.0
25756,"Atlantis, the Lost Empire",,,,,Kirk Wise, Gary Trousdale,,Tab Murphy, Gary Trousdale, Joss Whedon,,"0,00000",Aventure, Animation, Famille,,,,,U.S.A.,28.0,11.0,2001.0,2.0,3.1,95.0,1148273.0,120000000.0
25857,Ma petite entreprise,VincentLindon,FrancoisBerleand,RoschdyZem,ZabouBreitman,Pierre Jolivet,,,Pierre Jolivet, Simon Michaël,,,"0,02579",Comédie,,,,,,,France,1.0,9.0,1999.0,2.0,4.1,96.0,105862.0,3770000.0
26157,Harrison's Flowers,AndieMacDowell,DavidStrathairn,AdrienBrody,EliasKoteas,Élie Chouraqui,,,Didier Le Pêcheur, Isabel Ellsen, Michael Katims,,"0,00000",Drame, Guerre,,,,,,France,24.0,1.0,2001.0,2.0,3.8,130.0,80594.0,8000000.0
26287,Pane E Tulipani,LiciaMaglietta,GiuseppeBattiston,SilvanaBosi,BrunoGanz,Silvio Soldini,,,Doriana Leondeff, Silvio Soldini,,,"0,01496",Comédie,,,,,,,Suisse,5.0,6.0,2014.0,3.0,3.3,112.0,33632.0,5318679.0
26389,Fa yeung nin wa,MaggieCheung,TonyLeungChiu-Wai,PingLamSiu,RebeccaPan,Wong Kar-Wai,,,Wong Kar-Wai,,,,"0,02257",Drame, Romance,,,,,,France,8.0,11.0,2000.0,2.0,4.6,98.0,37045.0,
26404,La Ville Est Tranquille,ArianeAscaride,Jean-PierreDarroussin,PierreBanderet,VeroniqueBalme,Robert Guédiguian,,,Robert Guédiguian, Jean-Louis Milesi,,,"0,01427",Drame,,,,,,,France,17.0,1.0,2001.0,2.0,3.7,133.0,51072.0,66303.0
26533,The Dayereh,MyriamParvinAlmani,NargessMamizadeh,FatemehNaghavi,MojganeFaramarzi,Jafar Panahi,,,Kambuzia Partovi, Jafar Panahi,,,"0,01485",Drame,,,,,,,Iran,31.0,1.0,2001.0,2.0,4.4,90.0,35852.0,
26561,Next,NicolasCage,JulianneMoore,JessicaBiel,ThomasKretschmann,Lee Tamahori,,,Gary Goldman, Jonathan Hensleigh, Paul Bernbaum,,"0,02295",Action, Science Fiction, Thriller,,,,,U.S.A.,25.0,4.0,2007.0,2.0,1.8,96.0,262793.0,70000000.0
26706,Sous le sable,CharlotteRampling,BrunoCremer,AlexandraStewart,PierreVernier,François Ozon,,,François Ozon, Emmanuèle Bernheim, Marina De Van,,"0,02287",Drame,,,,,,,Japon,7.0,2.0,2001.0,2.0,4.3,95.0,154347.0,1452698.0
26730,Chopper,EricBana,VinceColosimo,DavidField,SimonLyndon,Andrew Dominik,,,Andrew Dominik,,,,"0,00544",Policier, Drame,,,,,,Australie,30.0,5.0,2001.0,2.0,2.8,94.0,22271.0,3250000.0
26781,Délicieux,GregoryGadebois,IsabelleCarre,BenjaminLavernhe,GuillaumeDeTonquedec,Eric Besnard,,,Eric Besnard, Nicolas Boukhrief,,,"0,02585",Comédie, Historique,,,,,,France,8.0,9.0,2021.0,2.0,3.3,113.0,130477.0,5400000.0
26823,Windtalkers,NicolasCage,AdamBeach,ChristianSlater,RogerWillie,John Woo,,,John Rice, Joe Batteer,,,"0,03024",Action, Drame, Guerre,,,,,U.S.A.,4.0,9.0,2002.0,2.0,3.3,134.0,221836.0,115000000.0
26825,The Shipping News,KevinSpacey,JulianneMoore,JudiDench,CateBlanchett,Lasse Hallström,,,Robert Nelson Jacobs, Annie Proulx,,,"0,00000",Drame,,,,,,,U.S.A.,27.0,2.0,2002.0,2.0,2.6,112.0,56630.0,38000000.0
26832,The Others,NicoleKidman,ElaineCassidy,ChristopherEccleston,FionnulaFlanagan,Alejandro Amenábar,,,Alejandro Amenábar,,,,"0,02579",Drame, Fantastique, Epouvante-horreur,,,,,France,26.0,12.0,2001.0,2.0,4.5,105.0,434397.0,17000000.0
26833,The Contender,JeffBridges,JoanAllen,GaryOldman,ChristianSlater,Rod Lurie,,,Rod Lurie,,,,"0,00624",Drame, Thriller,,,,,,Allemagne,6.0,3.0,2001.0,1.0,3.3,126.0,62009.0,20000000.0
26835,The Gift,CateBlanchett,GiovanniRibisi,KeanuReeves,KatieHolmes,Sam Raimi,,,Billy Bob Thornton, Tom Epperson,,,"0,02158",Drame, Epouvante-horreur, Thriller,,,,,U.S.A.,18.0,4.0,2001.0,2.0,3.2,112.0,162218.0,10000000.0
26839,The Tailor of Panama,PierceBrosnan,JamieLeeCurtis,GeoffreyRush,LeonorVarela,John Boorman,,,John Boorman, John Le Carré, Andrew Davies,,"0,01407",Espionnage,,,,,,,Irlande,30.0,5.0,2001.0,2.0,3.6,109.0,140875.0,21000000.0
26840,Terminator 3 : Rise of the Machines,ArnoldSchwarzenegger,KristannaLoken,NickStahl,ClaireDanes,Jonathan Mostow,,,John D. Brancato, Michael Ferris, Tedi Sarafian,,"0,01407",Action, Science Fiction,,,,,,U.S.A.,6.0,8.0,2003.0,2.0,3.0,109.0,1506449.0,200000000.0
26849,Save the Last Dance,JuliaStiles,SeanPatrickThomas,KerryWashington,TerryKinney,Thomas Carter,,,Duane Adler, Cheryl Edwards,,,"0,02331",Drame, Musical, Romance,,,,,U.S.A.,1.0,8.0,2001.0,2.0,2.7,112.0,127416.0,13000000.0
26851,Reines d'un jour,KarinViard,HeleneFillieres,SergiLopez,VictorLanoux,Marion Vernoux,,,Marion Vernoux, Nathalie Kristy,,,"0,00000",Comédie dramatique,,,,,,,France,24.0,10.0,2001.0,2.0,3.4,94.0,195130.0,500407.0
26854,Rollerball,ChrisKlein,JeanReno,LLCoolJ,RebeccaRomijn,John McTiernan,,,John Pogue, Larry Ferguson, William Harrison,,"0,01407",Action, Science Fiction,,,,,,U.S.A.,13.0,3.0,2002.0,2.0,2.7,99.0,198744.0,70000000.0
26855,Proof of Life,MegRyan,RussellCrowe,DavidMorse,PamelaReed,Taylor Hackford,,,Tony Gilroy,,,,"0,03024",Action, Drame, Thriller,,,,,U.S.A.,4.0,4.0,2001.0,2.0,2.7,135.0,75740.0,65000000.0
26857,Ocean's Eleven,GeorgeClooney,BradPitt,JuliaRoberts,MattDamon,Steven Soderbergh,,,Ted Griffin, Harry Brown, Charles Lederer,,"0,03340",Comédie, Judiciaire, Thriller,,,,,U.S.A.,6.0,2.0,2002.0,2.0,4.1,117.0,1502148.0,85000000.0
26858,Love's Labour's Lost,KennethBranagh,AlessandroNivola,AliciaSilverstone,NataschaMcElhone,Kenneth Branagh,,,Kenneth Branagh, William Shakespeare,,,"0,03024",Comédie, Comédie musicale,,,,,,Grande-Bretagne,24.0,1.0,2001.0,2.0,3.7,93.0,42169.0,13000000.0
26861,Miss Congeniality,SandraBullock,BenjaminBratt,MichaelCaine,CandiceBergen,Donald Petrie,,,Katie Ford, Caryn Lucas, Marc Lawrence (II),,"0,03340",Action, Comédie,,,,,,Australie,4.0,4.0,2001.0,2.0,2.9,109.0,150916.0,45000000.0
26862,"Monsters, Inc.",,,,,Pete Docter, David Silverman, Lee Unkrich,Pete Docter, Rhett Reese, Andrew Stanton,,"0,00000",Animation, Comédie, Famille,,,,,U.S.A.,20.0,3.0,2002.0,2.0,4.5,92.0,777943.0,115000000.0
26863,Moulin Rouge!,NicoleKidman,EwanMcGregor,JohnLeguizamo,JimBroadbent,Baz Luhrmann,,,Baz Luhrmann, Craig Pearce,,,"0,01549",Comédie musicale, Romance,,,,,,Australie,3.0,10.0,2001.0,2.0,3.7,126.0,446712.0,50000000.0
